id,name,city,area,address,latitude,longitude,capabilities,confidence,verification_source,verified_at,naver_map_url,kakao_map_url,google_map_url
busan-jung-airy-coffee,에어리커피,busan,jung,부산 중구 중앙대로 47,35.1018293,129.0361871,espresso_machine|specialty_coffee,B,admin_verified,2026-06-16,https://map.naver.com/p/entry/place/1452367571?lng=129.0361871&lat=35.1018293&placePath=%2Fhome&entry=plt&searchType=place,https://map.kakao.com/link/search/%EB%B6%80%EC%82%B0%20%EC%A4%91%EA%B5%AC%20%EC%A4%91%EC%95%99%EB%8C%80%EB%A1%9C%2047%20%EC%97%90%EC%96%B4%EB%A6%AC%EC%BB%A4%ED%94%BC,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%20%EC%A4%91%EA%B5%AC%20%EC%A4%91%EC%95%99%EB%8C%80%EB%A1%9C%2047%20%EC%97%90%EC%96%B4%EB%A6%AC%EC%BB%A4%ED%94%BC
gwangan-working-holiday,워킹홀리데이,busan,gwangan,부산 수영구 광안해변로 235,35.1546095,129.1197362,espresso_machine|specialty_coffee,B,admin_verified,2026-06-16,https://map.naver.com/p/entry/place/1858278556?lng=129.1197362&lat=35.1546095&placePath=%2Fhome&entry=plt&searchType=place,https://map.kakao.com/link/search/%EB%B6%80%EC%82%B0%20%EC%88%98%EC%98%81%EA%B5%AC%20%EA%B4%91%EC%95%88%ED%95%B4%EB%B3%80%EB%A1%9C%20235%20%EC%9B%8C%ED%82%B9%ED%99%80%EB%A6%AC%EB%8D%B0%EC%9D%B4,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%20%EC%88%98%EC%98%81%EA%B5%AC%20%EA%B4%91%EC%95%88%ED%95%B4%EB%B3%80%EB%A1%9C%20235%20%EC%9B%8C%ED%82%B9%ED%99%80%EB%A6%AC%EB%8D%B0%EC%9D%B4
yeongdo-mumyeong-ilgi,무명일기,busan,yeongdo,부산 영도구 봉래나루로 178,35.0964400,129.0434900,espresso_machine|specialty_coffee,B,admin_verified,2026-06-16,https://map.naver.com/p/entry/place/1552762754?lng=129.04349&lat=35.09644&placePath=%2Fhome&entry=plt&searchType=place,https://map.kakao.com/link/search/%EB%B6%80%EC%82%B0%20%EC%98%81%EB%8F%84%EA%B5%AC%20%EB%B4%89%EB%9E%98%EB%82%98%EB%A3%A8%EB%A1%9C%20178%20%EB%AC%B4%EB%AA%85%EC%9D%BC%EA%B8%B0,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%20%EC%98%81%EB%8F%84%EA%B5%AC%20%EB%B4%89%EB%9E%98%EB%82%98%EB%A3%A8%EB%A1%9C%20178%20%EB%AC%B4%EB%AA%85%EC%9D%BC%EA%B8%B0
dongnae-lazy-moment-coffee-stand,레이지모먼트 커피스탠드,busan,dongnae,부산 동래구 온천천로285번길 19,35.1961600,129.0857400,espresso_machine|specialty_coffee|filter_coffee,B,admin_verified,2026-06-16,https://map.naver.com/p/entry/place/1195066445?lng=129.08574&lat=35.19616&placePath=%2Fhome&entry=plt&searchType=place,https://map.kakao.com/link/search/%EB%B6%80%EC%82%B0%20%EB%8F%99%EB%9E%98%EA%B5%AC%20%EC%98%A8%EC%B2%9C%EC%B2%9C%EB%A1%9C285%EB%B2%88%EA%B8%B8%2019%20%EB%A0%88%EC%9D%B4%EC%A7%80%EB%AA%A8%EB%A8%BC%ED%8A%B8%20%EC%BB%A4%ED%94%BC%EC%8A%A4%ED%83%A0%EB%93%9C,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%20%EB%8F%99%EB%9E%98%EA%B5%AC%20%EC%98%A8%EC%B2%9C%EC%B2%9C%EB%A1%9C285%EB%B2%88%EA%B8%B8%2019%20%EB%A0%88%EC%9D%B4%EC%A7%80%EB%AA%A8%EB%A8%BC%ED%8A%B8%20%EC%BB%A4%ED%94%BC%EC%8A%A4%ED%83%A0%EB%93%9C
haeundae-momos-marine-city,모모스커피 마린시티점,busan,haeundae,부산 해운대구 마린시티1로 91,35.1544805,129.1443694,espresso_machine|specialty_coffee|filter_coffee|single_origin|roastery|bean_sales,B,admin_verified,2026-06-16,https://map.naver.com/p/entry/place/1216704111?lng=129.1443694&lat=35.1544805&placePath=%2Fhome&entry=plt&searchType=place,https://map.kakao.com/link/search/%EB%B6%80%EC%82%B0%20%ED%95%B4%EC%9A%B4%EB%8C%80%EA%B5%AC%20%EB%A7%88%EB%A6%B0%EC%8B%9C%ED%8B%B01%EB%A1%9C%2091%20%EB%AA%A8%EB%AA%A8%EC%8A%A4%EC%BB%A4%ED%94%BC%20%EB%A7%88%EB%A6%B0%EC%8B%9C%ED%8B%B0%EC%A0%90,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%20%ED%95%B4%EC%9A%B4%EB%8C%80%EA%B5%AC%20%EB%A7%88%EB%A6%B0%EC%8B%9C%ED%8B%B01%EB%A1%9C%2091%20%EB%AA%A8%EB%AA%A8%EC%8A%A4%EC%BB%A4%ED%94%BC%20%EB%A7%88%EB%A6%B0%EC%8B%9C%ED%8B%B0%EC%A0%90
gwangan-momos-domoheon,모모스커피 도모헌점,busan,gwangan,부산 수영구 황령산로7번길 60,35.1470284,129.1071882,espresso_machine|specialty_coffee|filter_coffee|single_origin|roastery|bean_sales,B,admin_verified,2026-06-16,https://map.naver.com/p/entry/place/1262480043?lng=129.1071882&lat=35.1470284&placePath=%2Fhome&entry=plt&searchType=place,https://map.kakao.com/link/search/%EB%B6%80%EC%82%B0%20%EC%88%98%EC%98%81%EA%B5%AC%20%ED%99%A9%EB%A0%B9%EC%82%B0%EB%A1%9C7%EB%B2%88%EA%B8%B8%2060%20%EB%AA%A8%EB%AA%A8%EC%8A%A4%EC%BB%A4%ED%94%BC%20%EB%8F%84%EB%AA%A8%ED%97%8C%EC%A0%90,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%20%EC%88%98%EC%98%81%EA%B5%AC%20%ED%99%A9%EB%A0%B9%EC%82%B0%EB%A1%9C7%EB%B2%88%EA%B8%B8%2060%20%EB%AA%A8%EB%AA%A8%EC%8A%A4%EC%BB%A4%ED%94%BC%20%EB%8F%84%EB%AA%A8%ED%97%8C%EC%A0%90
yeongdo-momos-roastery-coffee-bar,모모스커피 로스터리&커피바,busan,yeongdo,부산 영도구 봉래나루로 160,35.0962617,129.0426052,espresso_machine|specialty_coffee|filter_coffee|single_origin|roastery|bean_sales,B,admin_verified,2026-06-16,https://map.naver.com/p/entry/place/1786887951?lng=129.0426052&lat=35.0962617&placePath=%2Fhome&entry=plt&searchType=place,https://map.kakao.com/link/search/%EB%B6%80%EC%82%B0%20%EC%98%81%EB%8F%84%EA%B5%AC%20%EB%B4%89%EB%9E%98%EB%82%98%EB%A3%A8%EB%A1%9C%20160%20%EB%AA%A8%EB%AA%A8%EC%8A%A4%EC%BB%A4%ED%94%BC%20%EB%A1%9C%EC%8A%A4%ED%84%B0%EB%A6%AC%26%EC%BB%A4%ED%94%BC%EB%B0%94,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%20%EC%98%81%EB%8F%84%EA%B5%AC%20%EB%B4%89%EB%9E%98%EB%82%98%EB%A3%A8%EB%A1%9C%20160%20%EB%AA%A8%EB%AA%A8%EC%8A%A4%EC%BB%A4%ED%94%BC%20%EB%A1%9C%EC%8A%A4%ED%84%B0%EB%A6%AC%26%EC%BB%A4%ED%94%BC%EB%B0%94
jung-blackup-lotte-gwangbok,블랙업커피 롯데백화점광복점,busan,jung,부산 중구 중앙대로 2,35.0981418,129.0360633,espresso_machine|specialty_coffee|filter_coffee|bean_sales,B,admin_verified,2026-06-16,https://map.naver.com/p/entry/place/1099163755?lng=129.0360633&lat=35.0981418&placePath=%2Fhome&entry=plt&searchType=place,https://map.kakao.com/link/search/%EB%B6%80%EC%82%B0%20%EC%A4%91%EA%B5%AC%20%EC%A4%91%EC%95%99%EB%8C%80%EB%A1%9C%202%20%EB%B8%94%EB%9E%99%EC%97%85%EC%BB%A4%ED%94%BC%20%EB%A1%AF%EB%8D%B0%EB%B0%B1%ED%99%94%EC%A0%90%EA%B4%91%EB%B3%B5%EC%A0%90,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%20%EC%A4%91%EA%B5%AC%20%EC%A4%91%EC%95%99%EB%8C%80%EB%A1%9C%202%20%EB%B8%94%EB%9E%99%EC%97%85%EC%BB%A4%ED%94%BC%20%EB%A1%AF%EB%8D%B0%EB%B0%B1%ED%99%94%EC%A0%90%EA%B4%91%EB%B3%B5%EC%A0%90
saha-blackup-eulsukdo,블랙업커피 을숙도점,busan,saha,부산 사하구 낙동남로1233번길 30,35.1103318,128.9473826,espresso_machine|specialty_coffee|filter_coffee|bean_sales,B,admin_verified,2026-06-16,https://map.naver.com/p/entry/place/1642228694?lng=128.9473826&lat=35.1103318&placePath=%2Fhome&entry=plt&searchType=place,https://map.kakao.com/link/search/%EB%B6%80%EC%82%B0%20%EC%82%AC%ED%95%98%EA%B5%AC%20%EB%82%99%EB%8F%99%EB%82%A8%EB%A1%9C1233%EB%B2%88%EA%B8%B8%2030%20%EB%B8%94%EB%9E%99%EC%97%85%EC%BB%A4%ED%94%BC%20%EC%9D%84%EC%88%99%EB%8F%84%EC%A0%90,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%20%EC%82%AC%ED%95%98%EA%B5%AC%20%EB%82%99%EB%8F%99%EB%82%A8%EB%A1%9C1233%EB%B2%88%EA%B8%B8%2030%20%EB%B8%94%EB%9E%99%EC%97%85%EC%BB%A4%ED%94%BC%20%EC%9D%84%EC%88%99%EB%8F%84%EC%A0%90
haeundae-blackup-haeundae,블랙업커피 해운대점,busan,haeundae,부산 해운대구 중동2로 16,35.1633409,129.1643500,espresso_machine|specialty_coffee|filter_coffee|bean_sales,B,admin_verified,2026-06-16,https://map.naver.com/p/entry/place/38232927?lng=129.16435&lat=35.1633409&placePath=%2Fhome&entry=plt&searchType=place,https://map.kakao.com/link/search/%EB%B6%80%EC%82%B0%20%ED%95%B4%EC%9A%B4%EB%8C%80%EA%B5%AC%20%EC%A4%91%EB%8F%992%EB%A1%9C%2016%20%EB%B8%94%EB%9E%99%EC%97%85%EC%BB%A4%ED%94%BC%20%ED%95%B4%EC%9A%B4%EB%8C%80%EC%A0%90,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%20%ED%95%B4%EC%9A%B4%EB%8C%80%EA%B5%AC%20%EC%A4%91%EB%8F%992%EB%A1%9C%2016%20%EB%B8%94%EB%9E%99%EC%97%85%EC%BB%A4%ED%94%BC%20%ED%95%B4%EC%9A%B4%EB%8C%80%EC%A0%90
